episodes,rewards,steps
398,16.0,16
399,60.0,60
400,36.0,36
401,68.0,68
402,21.0,21
403,52.0,52
404,13.0,13
405,107.0,107
406,39.0,39
407,52.0,52
408,41.0,41
409,67.0,67
410,59.0,59
411,59.0,59
412,40.0,40
413,20.0,20
414,51.0,51
415,18.0,18
416,33.0,33
417,27.0,27
418,62.0,62
419,53.0,53
420,54.0,54
421,105.0,105
422,16.0,16
423,68.0,68
424,73.0,73
425,79.0,79
426,110.0,110
427,55.0,55
428,60.0,60
429,30.0,30
430,34.0,34
431,72.0,72
432,55.0,55
433,24.0,24
434,15.0,15
435,82.0,82
436,52.0,52
437,46.0,46
438,33.0,33
439,52.0,52
440,44.0,44
441,33.0,33
442,82.0,82
443,71.0,71
444,58.0,58
445,39.0,39
446,79.0,79
447,53.0,53
448,61.0,61
449,53.0,53
450,85.0,85
451,27.0,27
452,24.0,24
453,33.0,33
454,71.0,71
455,18.0,18
456,21.0,21
457,43.0,43
458,21.0,21
459,36.0,36
460,25.0,25
461,92.0,92
462,34.0,34
463,22.0,22
464,70.0,70
465,48.0,48
466,24.0,24
467,72.0,72
468,96.0,96
469,88.0,88
470,178.0,178
471,16.0,16
472,57.0,57
473,73.0,73
474,101.0,101
475,45.0,45
476,50.0,50
477,22.0,22
478,107.0,107
479,55.0,55
480,22.0,22
481,34.0,34
482,32.0,32
483,64.0,64
484,53.0,53
485,33.0,33
486,60.0,60
487,62.0,62
488,41.0,41
489,41.0,41
490,85.0,85
491,130.0,130
492,116.0,116
493,35.0,35
494,16.0,16
495,46.0,46
496,24.0,24
497,53.0,53
498,57.0,57
499,15.0,15
500,46.0,46
501,85.0,85
502,81.0,81
503,25.0,25
504,72.0,72
505,25.0,25
506,130.0,130
507,79.0,79
508,26.0,26
509,18.0,18
510,14.0,14
511,60.0,60
512,66.0,66
513,44.0,44
514,97.0,97
515,15.0,15
516,32.0,32
517,53.0,53
518,36.0,36
519,62.0,62
520,42.0,42
521,43.0,43
522,33.0,33
523,25.0,25
524,22.0,22
525,26.0,26
526,16.0,16
527,31.0,31
528,55.0,55
529,82.0,82
530,43.0,43
531,33.0,33
532,24.0,24
533,62.0,62
534,35.0,35
535,34.0,34
536,98.0,98
537,65.0,65
538,60.0,60
539,66.0,66
540,30.0,30
541,43.0,43
542,82.0,82
543,142.0,142
544,37.0,37
545,48.0,48
546,137.0,137
547,28.0,28
548,20.0,20
549,23.0,23
550,111.0,111
551,57.0,57
552,92.0,92
553,72.0,72
554,53.0,53
555,51.0,51
556,112.0,112
557,25.0,25
558,50.0,50
559,73.0,73
560,29.0,29
561,37.0,37
562,138.0,138
563,58.0,58
564,49.0,49
565,111.0,111
566,56.0,56
567,65.0,65
568,17.0,17
