2022-11-16 06:50:34 - r - INFO: - n_states: 4, n_actions: 2
2022-11-16 06:50:37 - r - INFO: - Start training!
2022-11-16 06:50:37 - r - INFO: - Env: CartPole-v1, Algorithm: DQN, Device: cuda
2022-11-16 06:50:50 - r - INFO: - Episode: 65/200, Reward: 9.000, Step: 9
2022-11-16 06:50:50 - r - INFO: - Episode: 66/200, Reward: 10.000, Step: 10
2022-11-16 06:50:50 - r - INFO: - Episode: 67/200, Reward: 10.000, Step: 10
2022-11-16 06:50:50 - r - INFO: - Episode: 68/200, Reward: 9.000, Step: 9
2022-11-16 06:50:51 - r - INFO: - Episode: 69/200, Reward: 8.000, Step: 8
2022-11-16 06:50:51 - r - INFO: - Episode: 70/200, Reward: 8.000, Step: 8
2022-11-16 06:50:51 - r - INFO: - Episode: 71/200, Reward: 9.000, Step: 9
2022-11-16 06:50:51 - r - INFO: - Episode: 72/200, Reward: 8.000, Step: 8
2022-11-16 06:50:51 - r - INFO: - Episode: 73/200, Reward: 9.000, Step: 9
2022-11-16 06:50:52 - r - INFO: - Episode: 74/200, Reward: 10.000, Step: 10
2022-11-16 06:50:52 - r - INFO: - Episode: 75/200, Reward: 10.000, Step: 10
2022-11-16 06:50:52 - r - INFO: - Episode: 76/200, Reward: 10.000, Step: 10
2022-11-16 06:50:52 - r - INFO: - Episode: 77/200, Reward: 8.000, Step: 8
2022-11-16 06:50:52 - r - INFO: - Episode: 78/200, Reward: 10.000, Step: 10
2022-11-16 06:50:53 - r - INFO: - Episode: 79/200, Reward: 10.000, Step: 10
2022-11-16 06:50:53 - r - INFO: - Episode: 80/200, Reward: 9.000, Step: 9
2022-11-16 06:50:53 - r - INFO: - Episode: 81/200, Reward: 9.000, Step: 9
2022-11-16 06:50:53 - r - INFO: - Episode: 82/200, Reward: 10.000, Step: 10
2022-11-16 06:50:53 - r - INFO: - Episode: 83/200, Reward: 8.000, Step: 8
2022-11-16 06:50:54 - r - INFO: - Episode: 84/200, Reward: 9.000, Step: 9
2022-11-16 06:50:54 - r - INFO: - Episode: 85/200, Reward: 9.000, Step: 9
2022-11-16 06:50:54 - r - INFO: - Episode: 86/200, Reward: 11.000, Step: 11
2022-11-16 06:50:54 - r - INFO: - Episode: 87/200, Reward: 10.000, Step: 10
2022-11-16 06:50:54 - r - INFO: - Episode: 88/200, Reward: 9.000, Step: 9
2022-11-16 06:50:55 - r - INFO: - Episode: 89/200, Reward: 10.000, Step: 10
2022-11-16 06:50:55 - r - INFO: - Episode: 90/200, Reward: 9.000, Step: 9
2022-11-16 06:50:55 - r - INFO: - Episode: 91/200, Reward: 9.000, Step: 9
2022-11-16 06:50:55 - r - INFO: - Episode: 92/200, Reward: 10.000, Step: 10
2022-11-16 06:50:56 - r - INFO: - Episode: 93/200, Reward: 10.000, Step: 10
2022-11-16 06:50:56 - r - INFO: - Episode: 94/200, Reward: 9.000, Step: 9
2022-11-16 06:50:56 - r - INFO: - Episode: 95/200, Reward: 8.000, Step: 8
2022-11-16 06:50:56 - r - INFO: - Episode: 96/200, Reward: 9.000, Step: 9
2022-11-16 06:50:56 - r - INFO: - Episode: 97/200, Reward: 9.000, Step: 9
2022-11-16 06:50:57 - r - INFO: - Episode: 98/200, Reward: 11.000, Step: 11
2022-11-16 06:50:57 - r - INFO: - Episode: 99/200, Reward: 10.000, Step: 10
2022-11-16 06:50:57 - r - INFO: - Episode: 100/200, Reward: 11.000, Step: 11
2022-11-16 06:50:57 - r - INFO: - Episode: 101/200, Reward: 11.000, Step: 11
2022-11-16 06:50:57 - r - INFO: - Episode: 102/200, Reward: 9.000, Step: 9
2022-11-16 06:50:58 - r - INFO: - Episode: 103/200, Reward: 9.000, Step: 9
2022-11-16 06:50:58 - r - INFO: - Episode: 104/200, Reward: 10.000, Step: 10
2022-11-16 06:50:58 - r - INFO: - Episode: 105/200, Reward: 11.000, Step: 11
2022-11-16 06:50:58 - r - INFO: - Episode: 106/200, Reward: 10.000, Step: 10
2022-11-16 06:50:59 - r - INFO: - Episode: 107/200, Reward: 10.000, Step: 10
2022-11-16 06:50:59 - r - INFO: - Episode: 108/200, Reward: 12.000, Step: 12
2022-11-16 06:50:59 - r - INFO: - Episode: 109/200, Reward: 11.000, Step: 11
2022-11-16 06:50:59 - r - INFO: - Episode: 110/200, Reward: 12.000, Step: 12
2022-11-16 06:51:00 - r - INFO: - Episode: 111/200, Reward: 16.000, Step: 16
2022-11-16 06:51:00 - r - INFO: - Episode: 112/200, Reward: 14.000, Step: 14
2022-11-16 06:51:00 - r - INFO: - Episode: 113/200, Reward: 12.000, Step: 12
2022-11-16 06:51:00 - r - INFO: - Episode: 114/200, Reward: 10.000, Step: 10
2022-11-16 06:51:01 - r - INFO: - Episode: 115/200, Reward: 12.000, Step: 12
2022-11-16 06:51:01 - r - INFO: - Current episode 115 has the best eval reward: 11.400
2022-11-16 06:51:01 - r - INFO: - Episode: 116/200, Reward: 15.000, Step: 15
2022-11-16 06:51:01 - r - INFO: - Episode: 117/200, Reward: 9.000, Step: 9
2022-11-16 06:51:01 - r - INFO: - Episode: 118/200, Reward: 9.000, Step: 9
2022-11-16 06:51:02 - r - INFO: - Episode: 119/200, Reward: 10.000, Step: 10
2022-11-16 06:51:02 - r - INFO: - Episode: 120/200, Reward: 20.000, Step: 20
2022-11-16 06:51:02 - r - INFO: - Episode: 121/200, Reward: 15.000, Step: 15
2022-11-16 06:51:03 - r - INFO: - Episode: 122/200, Reward: 11.000, Step: 11
2022-11-16 06:51:03 - r - INFO: - Episode: 123/200, Reward: 14.000, Step: 14
2022-11-16 06:51:03 - r - INFO: - Episode: 124/200, Reward: 11.000, Step: 11
2022-11-16 06:51:03 - r - INFO: - Episode: 125/200, Reward: 8.000, Step: 8
2022-11-16 06:51:04 - r - INFO: - Episode: 126/200, Reward: 13.000, Step: 13
2022-11-16 06:51:04 - r - INFO: - Episode: 127/200, Reward: 9.000, Step: 9
2022-11-16 06:51:04 - r - INFO: - Episode: 128/200, Reward: 9.000, Step: 9
2022-11-16 06:51:04 - r - INFO: - Episode: 129/200, Reward: 13.000, Step: 13
2022-11-16 06:51:05 - r - INFO: - Episode: 130/200, Reward: 14.000, Step: 14
2022-11-16 06:51:05 - r - INFO: - Episode: 131/200, Reward: 19.000, Step: 19
2022-11-16 06:51:05 - r - INFO: - Episode: 132/200, Reward: 15.000, Step: 15
2022-11-16 06:51:06 - r - INFO: - Episode: 133/200, Reward: 14.000, Step: 14
2022-11-16 06:51:06 - r - INFO: - Episode: 134/200, Reward: 11.000, Step: 11
2022-11-16 06:51:07 - r - INFO: - Episode: 135/200, Reward: 24.000, Step: 24
2022-11-16 06:51:07 - r - INFO: - Episode: 136/200, Reward: 12.000, Step: 12
2022-11-16 06:51:07 - r - INFO: - Episode: 137/200, Reward: 20.000, Step: 20
2022-11-16 06:51:08 - r - INFO: - Episode: 138/200, Reward: 37.000, Step: 37
2022-11-16 06:51:09 - r - INFO: - Episode: 139/200, Reward: 34.000, Step: 34
2022-11-16 06:51:09 - r - INFO: - Episode: 140/200, Reward: 22.000, Step: 22
2022-11-16 06:51:09 - r - INFO: - Current episode 140 has the best eval reward: 14.200
2022-11-16 06:51:10 - r - INFO: - Episode: 141/200, Reward: 29.000, Step: 29
2022-11-16 06:51:11 - r - INFO: - Episode: 142/200, Reward: 65.000, Step: 65
2022-11-16 06:51:14 - r - INFO: - Episode: 143/200, Reward: 117.000, Step: 117
2022-11-16 06:51:15 - r - INFO: - Episode: 144/200, Reward: 59.000, Step: 59
2022-11-16 06:51:16 - r - INFO: - Episode: 145/200, Reward: 23.000, Step: 23
2022-11-16 06:51:16 - r - INFO: - Current episode 145 has the best eval reward: 48.100
2022-11-16 06:51:17 - r - INFO: - Episode: 146/200, Reward: 45.000, Step: 45
2022-11-16 06:51:18 - r - INFO: - Episode: 147/200, Reward: 43.000, Step: 43
2022-11-16 06:51:18 - r - INFO: - Episode: 148/200, Reward: 26.000, Step: 26
2022-11-16 06:51:19 - r - INFO: - Episode: 149/200, Reward: 27.000, Step: 27
2022-11-16 06:51:20 - r - INFO: - Episode: 150/200, Reward: 31.000, Step: 31
2022-11-16 06:51:20 - r - INFO: - Current episode 150 has the best eval reward: 106.400
2022-11-16 06:51:21 - r - INFO: - Episode: 151/200, Reward: 47.000, Step: 47
2022-11-16 06:51:22 - r - INFO: - Episode: 152/200, Reward: 48.000, Step: 48
2022-11-16 06:51:23 - r - INFO: - Episode: 153/200, Reward: 56.000, Step: 56
2022-11-16 06:51:24 - r - INFO: - Episode: 154/200, Reward: 31.000, Step: 31
2022-11-16 06:51:26 - r - INFO: - Episode: 155/200, Reward: 70.000, Step: 70
2022-11-16 06:51:28 - r - INFO: - Episode: 156/200, Reward: 121.000, Step: 121
2022-11-16 06:51:30 - r - INFO: - Episode: 157/200, Reward: 91.000, Step: 91
2022-11-16 06:51:33 - r - INFO: - Episode: 158/200, Reward: 102.000, Step: 102
2022-11-16 06:51:35 - r - INFO: - Episode: 159/200, Reward: 110.000, Step: 110
2022-11-16 06:51:38 - r - INFO: - Episode: 160/200, Reward: 127.000, Step: 127
2022-11-16 06:51:41 - r - INFO: - Episode: 161/200, Reward: 134.000, Step: 134
2022-11-16 06:51:43 - r - INFO: - Episode: 162/200, Reward: 113.000, Step: 113
2022-11-16 06:51:48 - r - INFO: - Episode: 163/200, Reward: 178.000, Step: 178
2022-11-16 06:51:51 - r - INFO: - Episode: 164/200, Reward: 158.000, Step: 158
2022-11-16 06:51:55 - r - INFO: - Episode: 165/200, Reward: 187.000, Step: 187
2022-11-16 06:51:56 - r - INFO: - Current episode 165 has the best eval reward: 112.700
2022-11-16 06:51:59 - r - INFO: - Episode: 166/200, Reward: 158.000, Step: 158
2022-11-16 06:52:03 - r - INFO: - Episode: 167/200, Reward: 165.000, Step: 165
2022-11-16 06:52:07 - r - INFO: - Episode: 168/200, Reward: 186.000, Step: 186
2022-11-16 06:52:10 - r - INFO: - Episode: 169/200, Reward: 169.000, Step: 169
2022-11-16 06:52:15 - r - INFO: - Episode: 170/200, Reward: 191.000, Step: 191
2022-11-16 06:52:15 - r - INFO: - Current episode 170 has the best eval reward: 165.800
2022-11-16 06:52:19 - r - INFO: - Episode: 171/200, Reward: 194.000, Step: 194
2022-11-16 06:52:23 - r - INFO: - Episode: 172/200, Reward: 182.000, Step: 182
2022-11-16 06:52:28 - r - INFO: - Episode: 173/200, Reward: 200.000, Step: 200
2022-11-16 06:52:32 - r - INFO: - Episode: 174/200, Reward: 189.000, Step: 189
2022-11-16 06:52:36 - r - INFO: - Episode: 175/200, Reward: 200.000, Step: 200
2022-11-16 06:52:37 - r - INFO: - Current episode 175 has the best eval reward: 199.000
2022-11-16 06:52:41 - r - INFO: - Episode: 176/200, Reward: 196.000, Step: 196
2022-11-16 06:52:46 - r - INFO: - Episode: 177/200, Reward: 191.000, Step: 191
2022-11-16 06:52:50 - r - INFO: - Episode: 178/200, Reward: 200.000, Step: 200
2022-11-16 06:52:54 - r - INFO: - Episode: 179/200, Reward: 191.000, Step: 191
2022-11-16 06:52:59 - r - INFO: - Episode: 180/200, Reward: 200.000, Step: 200
2022-11-16 06:52:59 - r - INFO: - Current episode 180 has the best eval reward: 200.000
2022-11-16 06:53:04 - r - INFO: - Episode: 181/200, Reward: 200.000, Step: 200
2022-11-16 06:53:08 - r - INFO: - Episode: 182/200, Reward: 200.000, Step: 200
2022-11-16 06:53:12 - r - INFO: - Episode: 183/200, Reward: 200.000, Step: 200
2022-11-16 06:53:16 - r - INFO: - Episode: 184/200, Reward: 200.000, Step: 200
2022-11-16 06:53:21 - r - INFO: - Episode: 185/200, Reward: 200.000, Step: 200
2022-11-16 06:53:25 - r - INFO: - Episode: 186/200, Reward: 200.000, Step: 200
2022-11-16 06:53:30 - r - INFO: - Episode: 187/200, Reward: 200.000, Step: 200
2022-11-16 06:53:34 - r - INFO: - Episode: 188/200, Reward: 200.000, Step: 200
2022-11-16 06:53:38 - r - INFO: - Episode: 189/200, Reward: 200.000, Step: 200
2022-11-16 06:53:43 - r - INFO: - Episode: 190/200, Reward: 200.000, Step: 200
2022-11-16 06:53:43 - r - INFO: - Current episode 190 has the best eval reward: 200.000
2022-11-16 06:53:48 - r - INFO: - Episode: 191/200, Reward: 200.000, Step: 200
2022-11-16 06:53:52 - r - INFO: - Episode: 192/200, Reward: 200.000, Step: 200
2022-11-16 06:53:56 - r - INFO: - Episode: 193/200, Reward: 200.000, Step: 200
2022-11-16 06:54:01 - r - INFO: - Episode: 194/200, Reward: 200.000, Step: 200
2022-11-16 06:54:05 - r - INFO: - Episode: 195/200, Reward: 200.000, Step: 200
2022-11-16 06:54:06 - r - INFO: - Current episode 195 has the best eval reward: 200.000
2022-11-16 06:54:10 - r - INFO: - Episode: 196/200, Reward: 200.000, Step: 200
2022-11-16 06:54:14 - r - INFO: - Episode: 197/200, Reward: 200.000, Step: 200
2022-11-16 06:54:18 - r - INFO: - Episode: 198/200, Reward: 200.000, Step: 200
2022-11-16 06:54:23 - r - INFO: - Episode: 199/200, Reward: 200.000, Step: 200
2022-11-16 06:54:27 - r - INFO: - Episode: 200/200, Reward: 186.000, Step: 186
2022-11-16 06:54:27 - r - INFO: - Finish training!
