2022-10-30 01:21:01 - r - INFO: - n_states: 4, n_actions: 2
2022-10-30 01:21:01 - r - INFO: - Start training!
2022-10-30 01:21:01 - r - INFO: - Env: CartPole-v1, Algorithm: A2C, Device: cuda
2022-10-30 01:21:07 - r - INFO: - Episode: 68/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:07 - r - INFO: - Episode: 69/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:07 - r - INFO: - Episode: 70/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:07 - r - INFO: - Episode: 71/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:07 - r - INFO: - Episode: 72/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:07 - r - INFO: - Episode: 73/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:07 - r - INFO: - Episode: 74/1600, Reward: 41.00, Steps:41
2022-10-30 01:21:07 - r - INFO: - Episode: 75/1600, Reward: 51.00, Steps:51
2022-10-30 01:21:07 - r - INFO: - Episode: 76/1600, Reward: 60.00, Steps:60
2022-10-30 01:21:07 - r - INFO: - Episode: 77/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:07 - r - INFO: - Episode: 78/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:07 - r - INFO: - Episode: 79/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:07 - r - INFO: - Episode: 80/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:07 - r - INFO: - Episode: 81/1600, Reward: 36.00, Steps:36
2022-10-30 01:21:07 - r - INFO: - Episode: 82/1600, Reward: 29.00, Steps:29
2022-10-30 01:21:07 - r - INFO: - Episode: 83/1600, Reward: 9.00, Steps:9
2022-10-30 01:21:07 - r - INFO: - Episode: 84/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:07 - r - INFO: - Episode: 85/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:07 - r - INFO: - Episode: 86/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:07 - r - INFO: - Episode: 87/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:07 - r - INFO: - Episode: 88/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:08 - r - INFO: - Episode: 89/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:08 - r - INFO: - Episode: 90/1600, Reward: 24.00, Steps:24
2022-10-30 01:21:08 - r - INFO: - Episode: 91/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:08 - r - INFO: - Episode: 92/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:08 - r - INFO: - Episode: 93/1600, Reward: 64.00, Steps:64
2022-10-30 01:21:08 - r - INFO: - Episode: 94/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:08 - r - INFO: - Episode: 95/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:08 - r - INFO: - Episode: 96/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:08 - r - INFO: - Episode: 97/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:08 - r - INFO: - Episode: 98/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:08 - r - INFO: - Episode: 99/1600, Reward: 26.00, Steps:26
2022-10-30 01:21:08 - r - INFO: - Episode: 100/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:08 - r - INFO: - Episode: 101/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:08 - r - INFO: - Episode: 102/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:08 - r - INFO: - Episode: 103/1600, Reward: 34.00, Steps:34
2022-10-30 01:21:08 - r - INFO: - Episode: 104/1600, Reward: 35.00, Steps:35
2022-10-30 01:21:08 - r - INFO: - Episode: 105/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:08 - r - INFO: - Episode: 106/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:08 - r - INFO: - Episode: 107/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:08 - r - INFO: - Episode: 108/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:08 - r - INFO: - Episode: 109/1600, Reward: 30.00, Steps:30
2022-10-30 01:21:08 - r - INFO: - Episode: 110/1600, Reward: 40.00, Steps:40
2022-10-30 01:21:08 - r - INFO: - Episode: 111/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:08 - r - INFO: - Episode: 112/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:08 - r - INFO: - Episode: 113/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:08 - r - INFO: - Episode: 114/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:08 - r - INFO: - Episode: 115/1600, Reward: 37.00, Steps:37
2022-10-30 01:21:08 - r - INFO: - Episode: 116/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:08 - r - INFO: - Episode: 117/1600, Reward: 14.00, Steps:14
2022-10-30 01:21:08 - r - INFO: - Episode: 118/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:08 - r - INFO: - Episode: 119/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:08 - r - INFO: - Episode: 120/1600, Reward: 22.00, Steps:22
